113年03月 2330 台積電           各日成交資訊,,,,,,,,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/03/01,"24,167,721","16,699,995,060",697,697,688,689,-1,"26,282"
113/03/04,"97,210,112","69,868,348,694",714,725,711,725,36,"125,799"
113/03/05,"73,299,411","53,751,887,376",735,738,728,730,5,"69,851"
113/03/06,"52,464,833","38,203,868,985",718,738,717,735,5,"49,897"
113/03/07,"80,382,406","61,221,034,146",755,769,754,760,25,"96,348"
113/03/08,"98,069,174","77,295,575,097",795,796,772,784,24,"110,758"
113/03/11,"73,436,931","56,348,050,108",768,778,761,766,-18,"107,368"
113/03/12,"63,336,798","48,288,411,581",757,771,754,770,4,"56,154"
113/03/13,"43,130,896","33,672,441,212",785,785,777,779,9,"37,744"
113/03/14,"48,964,017","38,196,293,503",779,785,770,784,5,"35,137"
113/03/15,"80,580,846","61,451,780,435",771,777,753,753,-31,"95,014"
113/03/18,"46,006,400","34,967,084,535",754,765,754,764,X0.00,"40,073"
113/03/19,"32,078,900","24,399,917,859",758,765,755,762,-2,"31,208"
113/03/20,"48,788,389","37,117,091,830",764,769,752,758,-4,"46,702"
113/03/21,"47,759,094","37,203,673,872",773,784,772,784,26,"48,467"
113/03/22,"32,629,749","25,521,571,701",788,789,775,785,1,"33,054"
113/03/25,"21,223,414","16,612,693,369",783,788,779,780,-5,"24,794"
113/03/26,"43,103,294","33,847,261,033",788,792,776,782,2,"35,046"
113/03/27,"19,732,209","15,418,346,943",785,785,779,779,-3,"21,006"
113/03/28,"28,393,398","21,889,883,699",774,776,768,769,-10,"39,848"
113/03/29,"20,212,820","15,682,908,766",769,781,768,779,10,"18,110"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
